RUN_ID,RUN_TIME,RESULT_ID,LINUX_SERVER_COUNT,REDHAT_5,REDHAT_6,REDHAT_7,SERVER_COUNT_WITH_REPEATER,RPM_COUNT,TOTAL_RPM_PAYLOAD,BATCH_JOB_RUN_ID,TOTAL_RPM_SIZE,RUN_TIME_MINS,RHEL5,RHEL6,RHEL7,REPEATER
3893436,384,6263195,4,4,0,0,0,60,1584611024,3893216,1511,6,1,0,0,0
3892932,304,6265748,4,4,0,0,0,52,580482832,3893409,554,5,1,0,0,0
3940851,3214,6394431,1,1,0,0,0,14,146500144,3941115,140,54,1,0,0,0
3941801,446,6383940,1,0,0,0,0,179,618200896,3931199,590,7,0,0,0,0
3924103,198,6351406,1,0,0,0,0,4,42484952,3924504,41,3,0,0,0,0
3887084,579,6268054,1,0,0,0,0,241,865934236,3887066,826,10,0,0,0,0
3929549,202,6361691,1,0,0,0,0,4,42484952,3929550,41,3,0,0,0,0
3942238,746,6383879,1,0,0,0,1,262,1031825324,3938160,984,12,0,0,0,1
3942218,395,6383863,1,1,0,0,0,17,403178960,3938144,385,7,1,0,0,0
3887080,466,6268050,1,0,0,0,0,188,657083864,3886072,627,8,0,0,0,0
3887088,807,6268058,1,0,0,0,0,219,792777088,3886083,756,13,0,0,0,0
3923508,293,6349264,1,1,0,0,0,12,144967924,3923505,138,5,1,0,0,0
3938180,663,6385982,1,0,0,0,0,182,621579472,3942328,593,11,0,0,0,0
3888976,621,6256464,1,0,1,0,0,200,767315808,3887069,732,10,0,1,0,0
3938173,339,6385975,4,4,0,0,0,48,579871696,3942220,553,6,1,0,0,0
3931191,447,6383933,1,0,0,0,0,187,709557188,3938325,677,7,0,0,0,0
3889079,818,6265827,1,0,0,0,0,485,1991456180,3887072,1899,14,0,0,0,0
3937949,5422,6393109,9,0,0,0,0,45,1246119696,3935566,1188,90,0,0,0,0
3935573,414,6392618,1,1,0,0,0,16,417159252,3933064,398,7,1,0,0,0
3942331,405,6394924,1,0,0,0,0,35,257833456,3938157,246,7,0,0,0,0
3931983,367,6393319,1,1,0,0,0,17,403178960,3941418,385,6,1,0,0,0
3888979,875,6256467,1,0,0,0,0,268,984935764,3886089,939,15,0,0,0,0
3938175,470,6385977,1,1,0,0,0,9,281163436,3936088,268,8,1,0,0,0
3917550,199,6332147,1,0,0,0,0,4,42484952,3917268,41,3,0,0,0,0
